date_releve,reference,marque,modele,finition,titre,condition,apport,energie,transmission,km,prix_mensuel,url
2026-07-17T11:52:58,ves00455902,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,21476,258,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455902?apport=sans
2026-07-17T11:52:58,ves00455774,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,15483,258,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455774?apport=sans
2026-07-17T11:52:58,ves00455786,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,17495,258,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455786?apport=sans
2026-07-17T11:52:58,ves00455925,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,22537,258,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455925?apport=sans
2026-07-17T11:52:58,ves00455793,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,23799,258,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455793?apport=sans
2026-07-17T11:52:58,ves00455796,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,19610,258,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455796?apport=sans
2026-07-17T11:52:58,ves00455785,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,17723,259,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455785?apport=sans
2026-07-17T11:52:58,ves00455741,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,24549,259,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455741?apport=sans
2026-07-17T11:52:58,ves00455771,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,11129,259,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455771?apport=sans
2026-07-17T11:52:58,ves00455754,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,11889,260,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455754?apport=sans
2026-07-17T11:52:58,ves00455800,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,11532,260,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455800?apport=sans
2026-07-17T11:52:58,ves00455789,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,14899,260,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455789?apport=sans
2026-07-17T11:52:58,ves00455799,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,11645,263,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455799?apport=sans
2026-07-17T11:52:58,ves00455772,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,14913,263,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455772?apport=sans
2026-07-17T11:52:58,ves00455787,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,17945,264,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455787?apport=sans
2026-07-17T11:52:58,ves00455776,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,23324,265,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455776?apport=sans
2026-07-17T11:52:58,ves00453758,toyota,aygo-x,10-vvt-i-72-dynamic,SANS APPORT TOYOTA AYGO X 1.0 VVT-i 72 Dynamic,,,Essence,Manuelle,10,266,https://auto-dispo.cic-leasing.fr/leasing-voiture/toyota/aygo-x/10-vvt-i-72-dynamic-ves00453758?apport=sans
2026-07-17T11:52:58,ves00455790,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,12190,266,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455790?apport=sans
2026-07-17T11:52:58,ves00453757,toyota,aygo-x,10-vvt-i-72-dynamic,SANS APPORT TOYOTA AYGO X 1.0 VVT-i 72 Dynamic,,,Essence,Manuelle,10,266,https://auto-dispo.cic-leasing.fr/leasing-voiture/toyota/aygo-x/10-vvt-i-72-dynamic-ves00453757?apport=sans
2026-07-17T11:52:58,ves00453604,toyota,aygo-x,10-vvt-i-72-dynamic,SANS APPORT TOYOTA AYGO X 1.0 VVT-i 72 Dynamic,,,Essence,Manuelle,10,268,https://auto-dispo.cic-leasing.fr/leasing-voiture/toyota/aygo-x/10-vvt-i-72-dynamic-ves00453604?apport=sans
2026-07-17T11:52:58,ves00455962,mg,mg3,15-l-hybrid-195-ch-standard,SANS APPORT MG MG3 1.5 L Hybrid+ 195 ch Standard,,,Hybride,Automatique,10,269,https://auto-dispo.cic-leasing.fr/leasing-voiture/mg/mg3/15-l-hybrid-195-ch-standard-ves00455962?apport=sans
2026-07-17T11:52:58,ves00455794,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,22867,270,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00455794?apport=sans
2026-07-17T11:52:58,ves00456526,toyota,aygo-x,10-vvt-i-72-s-cvt-dynamic,SANS APPORT TOYOTA AYGO X 1.0 VVT-i 72 S-CVT Dynamic,,,Essence,Automatique,10,276,https://auto-dispo.cic-leasing.fr/leasing-voiture/toyota/aygo-x/10-vvt-i-72-s-cvt-dynamic-ves00456526?apport=sans
2026-07-17T11:52:58,ves00455769,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,12560,278,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455769?apport=sans
2026-07-17T11:52:58,ves00455770,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,8776,280,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455770?apport=sans
2026-07-17T11:52:58,ves00455904,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,10619,280,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455904?apport=sans
2026-07-17T11:52:58,ves00455764,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,11303,280,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455764?apport=sans
2026-07-17T11:52:58,ves00454404,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,3182,281,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00454404?apport=sans
2026-07-17T11:52:58,ves00456052,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,2172,281,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456052?apport=sans
2026-07-17T11:52:58,ves00455749,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,11576,281,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455749?apport=sans
2026-07-17T11:52:58,ves00455398,dacia,sandero-iii,bji-10-tce-90ch-stepway-expression,DACIA Sandero III (BJI) 1.0 TCe 90ch Stepway Expression,occasion,SANS APPORT,Essence,Manuelle,12465,282,https://auto-dispo.cic-leasing.fr/leasing-voiture/dacia/sandero-iii/bji-10-tce-90ch-stepway-expression-ves00455398?apport=sans
2026-07-17T11:52:58,ves00455767,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,11384,282,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455767?apport=sans
2026-07-17T11:52:58,ves00455924,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,13583,282,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455924?apport=sans
2026-07-17T11:52:58,ves00455748,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,11519,282,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455748?apport=sans
2026-07-17T11:52:58,ves00455780,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,11481,282,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455780?apport=sans
2026-07-17T11:52:58,ves00455781,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,11017,282,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00455781?apport=sans
2026-07-17T11:52:58,ves00455977,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,9779,282,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00455977?apport=sans
2026-07-17T11:52:58,ves00456697,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,8193,282,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456697?apport=sans
2026-07-17T11:52:58,ves00456050,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,8357,283,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456050?apport=sans
